ID,Group,Pet,Beach,Music,Programming
1,,TRUE,1,,B
2,,TRUE,5,Marshmello,D
3,,TRUE,5,Whitechapel,
4,Q,TRUE,0,Logic,C
5,It's To Early,TRUE,2,Vulfpeck,C
6,,FALSE,4,Los 4,C
7,It's too early,TRUE,0,Old Dominion,C
8,Baby Berk,TRUE,5,The Heavy,A
9,,FALSE,1,Justin Bieber,D
10,,TRUE,12,Illenium,A
11,Group 2,TRUE,1,Big Bang,C
12,,TRUE,4,White Lies,D
13,,TRUE,5,Future,A
14,Baby Berk,FALSE,0,Logic,C
15,,FALSE,1,Jay Chou,D
16,,FALSE,0,Aimer,D
17,,TRUE,1,The Weekend,D
18,,TRUE,1,,
19,B Team,TRUE,2,,A
20,,TRUE,3,Cold War Kids,A
21,It's too early,TRUE,2,Kendrick Lamar,D
22,,TRUE,6,Mumford and Sons,B
23,,TRUE,5,Sam Hunt,C
24,,FALSE,0,Of Monsters and Men,C
25,,TRUE,15,Ed Sheeran,C
26,,TRUE,1,,C
